Id,SalePrice
1461,139349.48
1462,186363.38
1463,186417.27
1464,189551.27
1465,160835.78
1466,187321.12
1467,161061.58
1468,174911.27
1469,177632.92
1470,124921.06
1471,165366.81
1472,113063.0
1473,115256.81
1474,172566.27
1475,111228.25
1476,270118.78
1477,217057.58
1478,247028.02
1479,256786.92
1480,375715.47
1481,264352.94
1482,173810.8
1483,167098.1
1484,137068.36
1485,153004.11
1486,177592.48
1487,305985.75
1488,210561.11
1489,163351.58
1490,196797.3
1491,172798.97
1492,95401.984
1493,227272.28
1494,251274.23
1495,231617.42
1496,179432.83
1497,149264.58
1498,145884.48
1499,142595.7
1500,131091.66
1501,167077.33
1502,121613.27
1503,241269.47
1504,180233.27
1505,165023.08
1506,209071.73
1507,224689.1
1508,211444.86
1509,167903.64
1510,183420.2
1511,154311.25
1512,195773.77
1513,179017.53
1514,162443.33
1515,211711.98
1516,195974.77
1517,166690.6
1518,168331.05
1519,173541.42
1520,141050.92
1521,139945.64
1522,205225.36
1523,109225.234
1524,134217.77
1525,118985.94
1526,123181.66
1527,105555.766
1528,138193.28
1529,143583.73
1530,204307.53
1531,146118.48
1532,98227.64
1533,177523.83
1534,115826.36
1535,141691.08
1536,108208.164
1537,64592.285
1538,147016.78
1539,164210.75
1540,104468.0
1541,137399.62
1542,123630.64
1543,159013.23
1544,93435.14
1545,108450.45
1546,139952.8
1547,168912.62
1548,121319.41
1549,98105.39
1550,144495.45
1551,96050.5
1552,158773.72
1553,134696.61
1554,113163.11
1555,204957.36
1556,66740.195
1557,103080.8
1558,88509.75
1559,138897.23
1560,147164.08
1561,99179.31
1562,141955.05
1563,110303.44
1564,160638.56
1565,153689.42
1566,271436.75
1567,63509.723
1568,249656.52
1569,173862.84
1570,136312.61
1571,127826.92
1572,153426.48
1573,207938.48
1574,141369.55
1575,222376.86
1576,235391.05
1577,152552.83
1578,141493.0
1579,147942.61
1580,174498.97
1581,156428.3
1582,118775.86
1583,240670.02
1584,175935.11
1585,104290.195
1586,61652.47
1587,107301.46
1588,171292.75
1589,107011.58
1590,137231.22
1591,100762.07
1592,126081.74
1593,128779.56
1594,151899.17
1595,91222.734
1596,169094.64
1597,162594.98
1598,179238.02
1599,142467.44
1600,158734.48
1601,70567.086
1602,117181.37
1603,100809.72
1604,200376.7
1605,203399.77
1606,162120.33
1607,181596.3
1608,174556.1
1609,144401.48
1610,125987.04
1611,182899.45
1612,149987.89
1613,150364.53
1614,120618.516
1615,104814.3
1616,87256.516
1617,112893.1
1618,104514.79
1619,157004.53
1620,177308.33
